"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case tests the error when user start the job by executing the task having task executor lock configured","150596","Test to validate the error when user start the job by executing the task having task executor lock configured","tests.scenarios.job","Fri Dec 13 22:56:55 IST 2024","passed","Fri Dec 13 22:59:26 IST 2024","TestTaskExecutorLockExecution","test_task_executor_lock_execution","",""
"This testcase tests that if the Create Object Task Actions gets triggered with hidden parameter mapping during job execution","33368","Test to verify that the Create Object Task Actions works as expected at with hidden parameter mapping during execution","tests.scenarios.job","Fri Dec 13 22:53:23 IST 2024","passed","Fri Dec 13 22:53:56 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase verifies that user can configure set property task action with trigger set at completion of task and parameterise it using date time parameter","12836","Verify that user can configure set property task action with trigger set at completion of task and parameterise it using date time parameter","tests.scenarios","Fri Dec 13 19:58:25 IST 2024","passed","Fri Dec 13 19:58:37 IST 2024","TestTaskActions","test_task_actions","",""
"This testcase tests that the increase property task actions added on task does not gets triggered at completion of the task during job execution with optional parameters","23573","Test to verify that the Increase Property Task Actions does not get triggered with optional parameters","tests.scenarios.job","Fri Dec 13 22:07:30 IST 2024","passed","Fri Dec 13 22:07:54 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"These testcase test adding set property action type at completion with multi resource parameter","20049","Test to add Set Property action type at completion with multi resource parameter","tests.scenarios","Fri Dec 13 19:51:29 IST 2024","passed","Fri Dec 13 19:51:49 IST 2024","TestTaskActions","test_task_actions","",""
"This test case is to verify the user can search for Object types using their name","788","This test case is to verify the user can search for Object types using their name","tests.scenarios.ontology","Fri Dec 13 23:08:15 IST 2024","passed","Fri Dec 13 23:08:16 IST 2024","","test_object_types","",""
"This test is to verify if optional linked parameter not executed should not be initialized if the dependent task is completed","18421","Test to verify if optional linked parameter not executed should not be initialized if the dependent task is completed","tests.scenarios.job","Fri Dec 13 20:25:17 IST 2024","passed","Fri Dec 13 20:25:35 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This test is to validate the audit logs for completing a job with exception","4317","Test to validate audit logs for completing a job with exception","tests.scenarios.job_audits","Fri Dec 13 23:05:25 IST 2024","passed","Fri Dec 13 23:05:29 IST 2024","TestJobActionAuditLogs","test_job_action_audit_logs","",""
"This testcase verifies that user can configure set property task action with trigger set at start of task and parameterise it using date parameter","13977","Verify that user can configure set property task action with trigger set at start of task and parameterise it using date parameter","tests.scenarios","Fri Dec 13 19:59:04 IST 2024","passed","Fri Dec 13 19:59:18 IST 2024","TestTaskActions","test_task_actions","",""
"This testcase validates the error message when the least count is breached in should be parameter in global prototype","0","Test to validate least count error message in should be parameter with linked parameter value in global prototype","tests.scenarios.job","Fri Dec 13 21:25:58 IST 2024","skipped","Fri Dec 13 21:25:58 IST 2024","TestLeastCount","test_least_count_execution","",""
"These test case tests adding number parameter with least count and constant value in global prototype","6478","Test to add number parameter with least count and constant value in global prototype","tests.scenarios","Fri Dec 13 19:01:38 IST 2024","passed","Fri Dec 13 19:01:45 IST 2024","","test_global_prototype","",""
"This testcase tests that user can execute the job with self verification in global prototype","31941","Test to verify that user can execute job with self verification enabled in global prototype","tests.scenarios.job","Fri Dec 13 21:41:59 IST 2024","passed","Fri Dec 13 21:42:31 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test case tests adding instruction activity to task in a prototype and publish it","6604","Test to create a new prototype with instruction activity added to the task and publish it","tests.scenarios","Fri Dec 13 19:09:00 IST 2024","passed","Fri Dec 13 19:09:07 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case tests unarchiving Global process","6909","Test to unarchive global process","tests.scenarios","Fri Dec 13 18:54:30 IST 2024","passed","Fri Dec 13 18:54:37 IST 2024","","test_global_prototype","",""
"These testcase test adding Create Object action type with multi line parameter mapping","14064","Test to add Create Object action type with multi line parameter mapping","tests.scenarios","Fri Dec 13 19:55:38 IST 2024","passed","Fri Dec 13 19:55:52 IST 2024","TestTaskActions","test_task_actions","",""
"This testcase tests creating a job by populating create job form parameters","18355","Test to verify that user can create a job by populating create job form parameters","tests.scenarios.job","Fri Dec 13 20:57:46 IST 2024","passed","Fri Dec 13 20:58:05 IST 2024","TestJobExecution","test_job_execution","",""
"These testcase test adding all types of task actions on task in global prototype","21785","Test to verify that User should be able to add all type of Task Action on the task in global prototype","tests.scenarios","Fri Dec 13 19:00:34 IST 2024","passed","Fri Dec 13 19:00:55 IST 2024","","test_global_prototype","",""
"This testcase verifies that user can execute the job for the process having single select dropdown parameter with load options","15034","Test to verify that user can execute the job for the process having single select dropdown parameter with load options ","tests.scenarios.job","Fri Dec 13 21:57:57 IST 2024","passed","Fri Dec 13 21:58:12 IST 2024","TestSingleSelectDropdownOptions","test_single_select_dropdown_load_option_execution","",""
"This testcase tests that user can execute the job with least count in should be parameter with linked parameter value","0","Test to verify that user can execute job with least count in should be parameter with linked parameter value","tests.scenarios.job","Fri Dec 13 21:21:46 IST 2024","skipped","Fri Dec 13 21:21:46 IST 2024","TestLeastCount","test_least_count_execution","",""
"This testcase tests executing the parameters and completing the job with number parameter having least count and parameter value in global prototype","11506","Test to complete the job with number parameter least count and parameter value in global prototype","tests.scenarios.job","Fri Dec 13 21:24:29 IST 2024","passed","Fri Dec 13 21:24:41 IST 2024","TestLeastCount","test_least_count_execution","",""
"This testcase tests if increase property task actions added on task gets triggered at completion of the task during job execution","30799","Test to verify that the Increase Property Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:05:43 IST 2024","passed","Fri Dec 13 22:06:13 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test is to validate the audit logs for file upload parameter execution","2258","Test to validate audit logs for file upload parameter execution","tests.scenarios.job_audits","Fri Dec 13 23:04:43 IST 2024","passed","Fri Dec 13 23:04:45 IST 2024","TestJobActionAuditLogs","test_audits_of_parameter_execution","",""
"This test case is to verify that user can create relations  with optional fields for the object type and validate the relations in objects","1552","This test case is to verify that user can create relations with optional fields","tests.scenarios.ontology","Fri Dec 13 23:08:21 IST 2024","passed","Fri Dec 13 23:08:23 IST 2024","","test_object_types_relations","",""
"This test case is to verify the user can archive the relations of an object type","2844","This test case is to verify the user can archive the relations of object type","tests.scenarios.ontology","Fri Dec 13 23:08:27 IST 2024","passed","Fri Dec 13 23:08:30 IST 2024","","test_object_types_relations","",""
"This testcase tests that the Archive Object Task Actions does not get triggered at the completion of the task when optional parameters are not executed during job execution","18506","Test to verify that the Archive Object Task Actions gets skipped when optional parameters are not executed","tests.scenarios.job","Fri Dec 13 22:24:59 IST 2024","passed","Fri Dec 13 22:25:17 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case is to Verify that a new user cannot be created with an email address that is not a valid email while creating new user","425","This test case is to Verify that a new user cannot be created with an email address that is not a valid email","tests.scenarios.user_and_access","Fri Dec 13 23:09:04 IST 2024","passed","Fri Dec 13 23:09:04 IST 2024","","test_users_and_access","",""
"This test is to validate the audit logs for starting a task","1242","Test to validate audit logs for starting a task","tests.scenarios.job_audits","Fri Dec 13 23:05:17 IST 2024","failed","Fri Dec 13 23:05:18 IST 2024","TestJobActionAuditLogs","test_job_action_audit_logs","",""
"This testcase tests that the increase property task actions configured using mandatory linked number parameter gets triggered at start of the task during job execution","29974","Test to verify that the Increase Property Task Actions works as expected with linked number parameters at start of the task","tests.scenarios.job","Fri Dec 13 22:09:41 IST 2024","passed","Fri Dec 13 22:10:11 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase tests initiating correction, submitting the correction and validating in correctionpage if its in rejected state","18363","Test to verify that user can initiate correction, submit the correction and validate incorrection page if its in rejected state","tests.scenarios.job","Fri Dec 13 20:21:22 IST 2024","passed","Fri Dec 13 20:21:40 IST 2024","TestCorrectionExecution","test_correction_execution","",""
"These test case tests removing stop activity in prototype and publishing it","7116","Test to remove stop activity in prototype","tests.scenarios","Fri Dec 13 19:27:37 IST 2024","passed","Fri Dec 13 19:27:44 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case verify that if user repeat the repeated task successfully","0","Test to repeat the repeated task","tests.scenarios.job","Fri Dec 13 21:53:02 IST 2024","skipped","Fri Dec 13 21:53:02 IST 2024","TestRepeatTask","test_repeat_task","",""
"This  test case is to verify the error when employee id is three characters  while creating new user","431","This  test case is to verify the error when employee id is three characters","tests.scenarios.user_and_access","Fri Dec 13 23:09:04 IST 2024","passed","Fri Dec 13 23:09:04 IST 2024","","test_users_and_access","",""
"This test case is to verify that user can create relations for the object type and validate the relations in objects","1529","This test case is to verify that user can create relations with one to many cardinality","tests.scenarios.ontology","Fri Dec 13 23:08:16 IST 2024","passed","Fri Dec 13 23:08:18 IST 2024","","test_object_types_relations","",""
"These test case tests removing timed activity in prototype and publishing it","7733","Test to remove timed activity in prototype","tests.scenarios","Fri Dec 13 19:27:44 IST 2024","passed","Fri Dec 13 19:27:52 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase tests that user gets error when next task is executed before task with 'Stop' action","11793","Test to validate error when Next Task is Executed Before Task with 'Stop' action","tests.scenarios.job","Fri Dec 13 21:15:00 IST 2024","passed","Fri Dec 13 21:15:12 IST 2024","TestJobExecution","test_job_execution","",""
"These Testcases test that user can configure task dependency with configure actions triggered at complete of the task","12778","Test to validate that user can configure task dependency with configure actions triggered at complete of the task","tests.scenarios","Fri Dec 13 18:43:34 IST 2024","passed","Fri Dec 13 18:43:46 IST 2024","TestDependencies","test_dependency","",""
"This test is to verify the execution of a job with scheduling at start task level","23222","Test to verify the execution of a job with scheduling at complete task level","tests.scenarios.job","Fri Dec 13 21:54:39 IST 2024","passed","Fri Dec 13 21:55:02 IST 2024","TestSingleSelectDropdownOptions","test_scheduling_execution","",""
"These test case test to link the resource parameter and publish it","19403","Test to link the resource parameter","tests.scenarios","Fri Dec 13 19:15:29 IST 2024","passed","Fri Dec 13 19:15:48 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case verify that if user can complete the job having completed repeated task","0","Test to complete the job having repeated task","tests.scenarios.job","Fri Dec 13 21:53:02 IST 2024","skipped","Fri Dec 13 21:53:02 IST 2024","TestRepeatTask","test_repeat_task","",""
"This test case verify if user can start the repeat task successfully","0","Test to start the repeat task","tests.scenarios.job","Fri Dec 13 21:53:02 IST 2024","skipped","Fri Dec 13 21:53:02 IST 2024","TestRepeatTask","test_repeat_task","",""
"These test case tests adding number parameter with least count and linked parameter and self verifications","6724","Test to add number parameter with least count and linked parameter in global prototype","tests.scenarios","Fri Dec 13 19:01:31 IST 2024","passed","Fri Dec 13 19:01:38 IST 2024","","test_global_prototype","",""
"This testcase tests validating error message when corrector and reviewer are same user","16676","Test to validate that corrector and reviewer cannot be same user","tests.scenarios.job","Fri Dec 13 20:17:49 IST 2024","passed","Fri Dec 13 20:18:05 IST 2024","TestCorrectionExecution","test_correction_execution","",""
"These Testcases test that user can configure task dependency with schedule task","8067","Test to validate that user can configure task dependency with schedule task","tests.scenarios","Fri Dec 13 18:43:25 IST 2024","passed","Fri Dec 13 18:43:34 IST 2024","TestDependencies","test_dependency","",""
"This test case verify that if user can complete the repeated task with exception","0","Test to complete the repeated task with exception","tests.scenarios.job","Fri Dec 13 21:53:02 IST 2024","skipped","Fri Dec 13 21:53:02 IST 2024","TestRepeatTask","test_repeat_task","",""
"This testcase tests if Decrease property task actions with multi resource added on task gets triggered at start of the task during job execution","31651","Test to verify that the Decrease Property Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:30:24 IST 2024","passed","Fri Dec 13 22:30:56 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case validates if user can remove existing added solo task lock on task in prototype","6591","Test to validate if user can remove existing added solo task lock on task in prototype","tests.scenarios","Fri Dec 13 19:46:13 IST 2024","passed","Fri Dec 13 19:46:20 IST 2024","TestSoloTaskLock","test_solo_task_lock","",""
"This test case tests hiding the all the parameters under stage and publish the prototype","7810","Test to hide the parameters under stage and publish prototype","tests.scenarios","Fri Dec 13 19:09:29 IST 2024","passed","Fri Dec 13 19:09:37 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case is to verify that user can not change the property type from the properties in object types","3028","This test case is to verify that user can not change the  of the property","tests.scenarios.ontology","Fri Dec 13 23:07:54 IST 2024","passed","Fri Dec 13 23:07:57 IST 2024","","test_object_property","",""
"This test case tests modifying start date and time of scheduler","8636","Test to modify start date and time of scheduler","tests.scenarios","Fri Dec 13 18:37:06 IST 2024","passed","Fri Dec 13 18:37:14 IST 2024","TestCreateScheduler","test_create_schedulers","",""
"This test is to verify that user can create a job for process having color code","7533","Test to verify that user can create a job for process having color code ","tests.scenarios.job","Fri Dec 13 20:16:05 IST 2024","passed","Fri Dec 13 20:16:12 IST 2024","TestColorCodeExecution","test_color_code_execution","",""
"This test is to verify the error message when user tries to execute a task with a task dependency","11495","Test to validate the error message when user tries to execute a task with a task dependency","tests.scenarios.job","Fri Dec 13 20:24:17 IST 2024","passed","Fri Dec 13 20:24:28 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This testcase tests if set property task actions gets triggered with date parameterized at start of task","19698","Test to verify that the Set Property Task Actions works as expected during execution with date parameterized at start of task","tests.scenarios.job","Fri Dec 13 22:56:03 IST 2024","passed","Fri Dec 13 22:56:23 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case tests peer-verification is disabled for an existing parameter in revision","13905","Test to verify peer-verification is disabled for an existing parameter in revision","tests.scenarios","Fri Dec 13 19:30:14 IST 2024","passed","Fri Dec 13 19:30:28 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case verifies that user can unmap the parameter used in filters","19128","Test to verify that user can unmap the parameter used in filters","tests.scenarios","Fri Dec 13 19:34:28 IST 2024","passed","Fri Dec 13 19:34:47 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase test error while updating user group name with some existing group name","1691","Test to validate error while updating user group name with some existing group name","tests.scenarios.user_and_access","Fri Dec 13 23:08:58 IST 2024","passed","Fri Dec 13 23:09:00 IST 2024","TestUserGroups","test_user_groups","",""
"This testcase tests that user can filter the parameter with verification status approved in verification tab","17737","Test to verify that user can filter the parameter with verification status approved in verification tab","tests.scenarios.job","Fri Dec 13 21:49:59 IST 2024","passed","Fri Dec 13 21:50:17 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test case is to verify bulk verification with revision of prototype","13206","Test to verify bulk verification with revision of prototype","tests.scenarios","Fri Dec 13 18:30:30 IST 2024","passed","Fri Dec 13 18:30:43 IST 2024","TestBulkVerification","test_bulk_verification","",""
"This testcase tests that if the Create Object Task Actions gets triggered with single line mapping at the completion start of the during job execution","23534","Test to verify that the Create Object Task Actions works as expected at with single line mapping during execution","tests.scenarios.job","Fri Dec 13 22:45:32 IST 2024","passed","Fri Dec 13 22:45:56 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase tests resume the task","12006","Test to verify that user can resume the task","tests.scenarios.job","Fri Dec 13 21:13:32 IST 2024","passed","Fri Dec 13 21:13:44 IST 2024","TestJobExecution","test_job_execution","",""
"This test is to verify if the dependent prerequisite task is skipped then consider the prerequisite task as completed","11032","Test to verify if the dependent prerequisite task is skipped then consider the prerequisite task as completed","tests.scenarios.job","Fri Dec 13 20:24:53 IST 2024","passed","Fri Dec 13 20:25:04 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This test case validates error when user tries to delete the parameter on which branching rules are configured","2268","Test to validate error when user tries to delete parameter with branching rules","tests.scenarios","Fri Dec 13 18:38:39 IST 2024","passed","Fri Dec 13 18:38:41 IST 2024","TestDeleteParameterValidations","test_delete_parameter_validations","",""
"This testcase tests completing job annotation for a completed job and then deleting the annotation","24033","Test to verify that user can complete job annotation for a completed job and then delete the annotation","tests.scenarios.job","Fri Dec 13 20:52:36 IST 2024","passed","Fri Dec 13 20:53:00 IST 2024","TestJobAnnotation","test_job_annotation","",""
"This test case tests complete job and verify in inbox completed tab","0","Test to complete job and verify in inbox completed tab","tests.scenarios.job","Fri Dec 13 21:12:23 IST 2024","skipped","Fri Dec 13 21:12:23 IST 2024","TestJobExecution","test_job_execution","",""
"These testcase test adding set relation action type at start of task in global prototype","18011","Test to add Set Relation action type at start of task in global prototype","tests.scenarios","Fri Dec 13 19:00:16 IST 2024","passed","Fri Dec 13 19:00:34 IST 2024","","test_global_prototype","",""
"This test is to verify the audit logs for the execution of a job with scheduling at start tasklevel","19384","Test to verify the audit logs for the execution of a job with scheduling at start task level","tests.scenarios.job","Fri Dec 13 21:57:37 IST 2024","passed","Fri Dec 13 21:57:57 IST 2024","TestSingleSelectDropdownOptions","test_scheduling_execution","",""
"This testcase tests that user can execute the job with peer verification","35219","Test to verify that user can execute job with peer verification","tests.scenarios.job","Fri Dec 13 21:34:56 IST 2024","passed","Fri Dec 13 21:35:31 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test case verify that if user can repeat task which is completed with exception","0","Test to repeat the task which is completed with exception","tests.scenarios.job","Fri Dec 13 21:53:02 IST 2024","skipped","Fri Dec 13 21:53:02 IST 2024","TestRepeatTask","test_repeat_task","",""
"This testcase tests that user can execute the job with peer verification enabled in global prototype","35041","Test to verify that user can execute job with peer verification enabled in global prototype","tests.scenarios.job","Fri Dec 13 21:43:05 IST 2024","passed","Fri Dec 13 21:43:40 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This testcase tests that if the Create Object Task Actions gets triggered with cjf parameter mapping during job execution","26952","Test to verify that the Create Object Task Actions works as expected at with cjf parameter mapping during execution","tests.scenarios.job","Fri Dec 13 22:51:56 IST 2024","passed","Fri Dec 13 22:52:23 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase tests that user can execute the checklist present in the job with peer verification","17612","Test to verify the peer verification for checklist activity during job execution","tests.scenarios.job","Fri Dec 13 21:37:25 IST 2024","passed","Fri Dec 13 21:37:43 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test case tests adding all parameters to checklist with task action scheduling condition at complete task and publish it","14616","Test to create a new process with all the Parameters mapped to the task with task action scheduling condition at complete task","tests.scenarios","Fri Dec 13 19:39:16 IST 2024","passed","Fri Dec 13 19:39:31 IST 2024","TestSchedulingTask","test_scheduling_task_actions","",""
"This test case validates if user can delete the stage on which Task executor Lock is configured","1689","Test to validate if user can delete the stage on which Task executor Lock is configured","tests.scenarios","Fri Dec 13 20:04:18 IST 2024","passed","Fri Dec 13 20:04:19 IST 2024","TestTaskExecutorLock","test_task_executor_lock","",""
"This testcase tests if Set relation task actions added on task gets triggered at completion of the task during job execution","21147","Test to verify that the Set relation Task Actions works as expected during execution at completion","tests.scenarios.job","Fri Dec 13 22:21:24 IST 2024","failed","Fri Dec 13 22:21:45 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase tests if set property task actions gets triggered with date time parameterized at completion of task","22329","Test to verify that the Set Property Task Actions works as expected during execution with date time parameterized at completion of task","tests.scenarios.job","Fri Dec 13 22:54:17 IST 2024","passed","Fri Dec 13 22:54:39 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase verifies that set property task action is triggered at start of task during job execution with parameterized single select dropdown with load options","21654","Test to verify that set property task action is triggered at start of task during job execution with parameterized single select dropdown with load options","tests.scenarios.job","Fri Dec 13 22:00:48 IST 2024","passed","Fri Dec 13 22:01:09 IST 2024","TestSingleSelectDropdownOptions","test_single_select_dropdown_load_option_execution","",""
"These test case test to link parameters with resource parameter that is mapped to cjf","13567","Test to link parameters with resource parameter that is mapped to cjf","tests.scenarios","Fri Dec 13 19:10:01 IST 2024","passed","Fri Dec 13 19:10:14 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These testcase test adding Archive Object task action at the start of the task in global prototype","12868","Test to add Archive Object task action at the start of the task in global prototype","tests.scenarios","Fri Dec 13 18:58:44 IST 2024","passed","Fri Dec 13 18:58:57 IST 2024","","test_global_prototype","",""
"This testcase tests user can reject the should be parameter deviation submitted","0","Test to verify that user can reject the should be parameter deviation submitted","tests.scenarios.job","Fri Dec 13 21:57:57 IST 2024","skipped","Fri Dec 13 21:57:57 IST 2024","TestShouldBeDeviation","test_should_be_deviation","",""
"This testcase tests completing the job by executing the optional parameters with self verification enabled","13979","Test to verify that user can complete the job by executing the optional parameters with self verification enabled","tests.scenarios.job","Fri Dec 13 21:28:52 IST 2024","passed","Fri Dec 13 21:29:06 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This testcase tests if increase property task actions added on task gets triggered at start of the task during job execution","26522","Test to verify that the Increase Property Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:06:13 IST 2024","passed","Fri Dec 13 22:06:40 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"These testcase test adding Create Object action type at completion of task","11602","Test to add Create Object action type at completion of task","tests.scenarios","Fri Dec 13 19:20:18 IST 2024","passed","Fri Dec 13 19:20:29 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case tests if user can configure set relation automation action using one to many cardinality relation at completion of task","18470","Test to validate set relation automation action using one to many cardinality relation at completion of task","tests.scenarios","Fri Dec 13 19:33:18 IST 2024","passed","Fri Dec 13 19:33:36 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case tests adding precision for calculation parameter with peer verification","0","Test to verify precision for calculation parameter with peer verification","tests.scenarios","Fri Dec 13 19:36:27 IST 2024","skipped","Fri Dec 13 19:36:27 IST 2024","TestRoundingRule","test_rounding_rule","",""
"This testcase validates the least count error message in should be parameter with linked parameter value","0","Test to validate least count error message in should be parameter with linked parameter value","tests.scenarios.job","Fri Dec 13 21:21:46 IST 2024","skipped","Fri Dec 13 21:21:46 IST 2024","TestLeastCount","test_least_count_execution","",""
"This testcase tests that the Archive Object Task Actions does not get triggered at the completion of the task when optional parameters are not executed during job execution","20282","Test to verify that the Archive Object Task Actions gets skipped when optional parameters are not executed","tests.scenarios.job","Fri Dec 13 22:25:17 IST 2024","passed","Fri Dec 13 22:25:38 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case is to show the archived the relations of an object type","3264","This test case is to show the archived  relations of object type","tests.scenarios.ontology","Fri Dec 13 23:08:30 IST 2024","passed","Fri Dec 13 23:08:33 IST 2024","","test_object_types_relations","",""
"This testcase tests if the value of the linked resource parameter gets correctly populated while execution of the job","25964","Test to verify that the value of Linked resource parameter get correctly populated while execution","tests.scenarios.job","Fri Dec 13 21:07:07 IST 2024","passed","Fri Dec 13 21:07:33 IST 2024","TestJobExecution","test_job_execution","",""
"This test case tests adding precision for calculation parameter with negative value","2582","Test to validate precision for calculation parameter with negative value","tests.scenarios","Fri Dec 13 19:36:25 IST 2024","passed","Fri Dec 13 19:36:27 IST 2024","TestRoundingRule","test_rounding_rule","",""
"This test case tests adding interlocks on date-time property in task with task start trigger","13293","Test to configure interlocks on task with date-time property and with task start trigger","tests.scenarios","Fri Dec 13 18:33:47 IST 2024","passed","Fri Dec 13 18:34:00 IST 2024","TestConfigureConditions","test_configure_conditions","",""
"This testcase tests if set property task actions with multi resource added on task gets triggered at completion of the task during job execution","29264","Test to verify that the Set Property Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:30:56 IST 2024","failed","Fri Dec 13 22:31:25 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"These testcase test adding Archive Object action type with multi resource","13181","Test to add Archive Object action type at completion with multi resource","tests.scenarios","Fri Dec 13 19:49:57 IST 2024","passed","Fri Dec 13 19:50:10 IST 2024","TestTaskActions","test_task_actions","",""
"This testcase tests that supervisor can annotate the completed job","11201","Test to verify that supervisor can annotate the completed job","tests.scenarios.job","Fri Dec 13 20:54:01 IST 2024","passed","Fri Dec 13 20:54:12 IST 2024","TestJobAnnotation","test_job_annotation","",""
"This testcase validates the least count error message in number parameter with linked parameter value","24156","Test to validate least count error message in number parameter with linked parameter value","tests.scenarios.job","Fri Dec 13 21:19:54 IST 2024","passed","Fri Dec 13 21:20:18 IST 2024","TestLeastCount","test_least_count_execution","",""
"This testcase tests completing the job by executing the optional parameters with self verification enabled","12237","Test to verify that user can complete the job by executing the optional parameters with self verification enabled","tests.scenarios.job","Fri Dec 13 21:28:40 IST 2024","passed","Fri Dec 13 21:28:52 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This testcases test that a user can complete a job for a process having interlocks with date-time property andtask completed trigger","23628","Test user can complete a job for a process with interlocks having date-time property and task completed trigger","tests.scenarios.job","Fri Dec 13 20:44:47 IST 2024","passed","Fri Dec 13 20:45:10 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This test case tests revising the published prototype","7668","Test to revise a published prototype","tests.scenarios","Fri Dec 13 19:26:46 IST 2024","passed","Fri Dec 13 19:26:54 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These test case tests mapping unmapped parameters with peer verification enabled to the task","16208","Test to map unmapped parameters with peer verifications enabled to task","tests.scenarios","Fri Dec 13 19:28:33 IST 2024","passed","Fri Dec 13 19:28:50 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These testcase test adding Create Object action type with date time parameter mapping","13138","Test to add Create Object action type with date time parameter mapping","tests.scenarios","Fri Dec 13 19:55:52 IST 2024","passed","Fri Dec 13 19:56:05 IST 2024","TestTaskActions","test_task_actions","",""
"These testcase test adding Create Object action type at completion trigger with multi resource selector","12905","Test to add Create Object action type at completion with multi resource selector","tests.scenarios","Fri Dec 13 19:49:44 IST 2024","passed","Fri Dec 13 19:49:57 IST 2024","TestTaskActions","test_task_actions","",""
"This testcase tests that the set property task actions added on task does not get triggered atcompletion of the task when optional parameters are not executed","27478","Test to verify that the Set Property Task Actions does not get triggered with optional parameters","tests.scenarios.job","Fri Dec 13 22:19:08 IST 2024","failed","Fri Dec 13 22:19:36 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case validates that the cannot be executor field is empty when task configured in cannot be executor in task executor lock is deleted","7575","Test to validate that the cannot be executor field is empty when task configured in task executor is deleted","tests.scenarios","Fri Dec 13 20:05:25 IST 2024","passed","Fri Dec 13 20:05:33 IST 2024","TestTaskExecutorLock","test_task_executor_lock","",""
"This testcase tests that user who started the task with solo task lock can pause and resume the task","10994","Test to verify that user who started the task with solo task lock can pause and resume the task","tests.scenarios.job","Fri Dec 13 22:02:10 IST 2024","passed","Fri Dec 13 22:02:21 IST 2024","TestSoloTaskLockExecution","test_solo_task_lock_execution","",""
"This test case validates error when user tries to delete the parameter which is used in filters","17733","Test to validate error when user tries to delete the parameter which is used in filters","tests.scenarios","Fri Dec 13 18:42:09 IST 2024","passed","Fri Dec 13 18:42:26 IST 2024","TestDeleteParameterValidations","test_delete_parameter_validations","",""
"This test case is to create new prototype with color code","665","Test to create new prototype with color code","tests.scenarios","Fri Dec 13 18:30:51 IST 2024","passed","Fri Dec 13 18:30:51 IST 2024","TestColorCode","test_color_code","",""
"This testcase tests adding instructions in the process and validating if it is visible in the job","9877","Test to verify that instructions added to the process are present in the job","tests.scenarios.job","Fri Dec 13 21:02:57 IST 2024","passed","Fri Dec 13 21:03:07 IST 2024","TestJobExecution","test_job_execution","",""
"These Testcases test that user can configure task dependency with linked parameter","11836","Test to verify task dependency with linked parameter","tests.scenarios","Fri Dec 13 18:45:05 IST 2024","passed","Fri Dec 13 18:45:17 IST 2024","TestDependencies","test_dependency","",""
